length time_per_increment
1 5.79644e-09
2 5.51763e-09
4 5.57165e-09
8 5.30895e-09
16 5.43577e-09
32 5.37676e-09
64 5.24101e-09
128 5.21411e-09
256 5.24747e-09
512 5.17201e-09
1024 5.16155e-09
2048 5.24261e-09
4096 5.26566e-09
8192 5.84007e-09
16384 5.93232e-09
32768 5.99925e-09
65536 6.12947e-09
131072 6.35839e-09
262144 7.26503e-09
524288 8.8374e-09
1.04858e+06 3.53511e-08
