length time_per_increment
1 5.03377e-09
2 5.3961e-09
4 5.36408e-09
8 5.36456e-09
16 5.34507e-09
32 5.29655e-09
64 5.28606e-09
128 5.2679e-09
256 7.56717e-09
512 6.4367e-09
1024 6.42117e-09
2048 6.40709e-09
4096 6.39903e-09
8192 6.45008e-09
16384 6.43824e-09
32768 6.43725e-09
65536 6.43596e-09
131072 6.42925e-09
262144 6.46036e-09
524288 6.75115e-09
1.04858e+06 1.0023e-08
2.09715e+06 1.11726e-08
4.1943e+06 1.09591e-08
8.38861e+06 1.11878e-08
