length time_per_increment
1 5.09672e-09
2 5.39967e-09
4 5.28101e-09
8 5.26049e-09
16 5.25998e-09
32 5.25534e-09
64 5.27659e-09
128 5.25343e-09
256 7.78918e-09
512 6.46559e-09
1024 6.44149e-09
2048 6.47617e-09
4096 6.49107e-09
8192 6.53033e-09
16384 6.51635e-09
32768 6.52231e-09
65536 6.53703e-09
131072 6.59865e-09
262144 6.61055e-09
524288 6.72701e-09
1.04858e+06 7.90654e-09
