length time_per_increment
1 5.08623e-09
2 5.34972e-09
4 5.34818e-09
8 5.34693e-09
16 5.3552e-09
32 5.32744e-09
64 5.25595e-09
128 5.2652e-09
256 5.25783e-09
512 5.25233e-09
1024 5.23108e-09
2048 5.23055e-09
4096 5.25298e-09
8192 5.84162e-09
16384 5.84698e-09
32768 5.80306e-09
65536 5.80047e-09
131072 5.87294e-09
262144 6.02926e-09
524288 7.34364e-09
1.04858e+06 2.99678e-08
