length time_per_increment
1 5.07729e-09
2 5.28059e-09
4 5.26638e-09
8 5.26552e-09
16 5.23481e-09
32 5.23287e-09
64 5.22068e-09
128 5.20747e-09
256 8.16974e-09
512 6.72877e-09
1024 6.71641e-09
2048 6.70241e-09
4096 6.72288e-09
8192 6.73697e-09
16384 6.76902e-09
32768 6.79841e-09
65536 6.81901e-09
131072 6.84841e-09
262144 6.95803e-09
524288 7.02408e-09
1.04858e+06 7.556e-09
