length time_per_increment
1 5.12405e-09
2 5.34536e-09
4 5.30063e-09
8 5.28411e-09
16 5.27311e-09
32 5.28766e-09
64 5.25162e-09
128 5.25621e-09
256 7.4919e-09
512 6.40266e-09
1024 6.35925e-09
2048 6.37e-09
4096 6.38663e-09
8192 6.48054e-09
16384 6.45856e-09
32768 6.49214e-09
65536 6.46186e-09
131072 6.49331e-09
262144 6.4948e-09
524288 6.676e-09
1.04858e+06 9.79424e-09
