length time_per_increment
1 5.11228e-09
2 5.33527e-09
4 5.31174e-09
8 5.25336e-09
16 5.30097e-09
32 5.28937e-09
64 5.26779e-09
128 5.27707e-09
256 7.91504e-09
512 6.64515e-09
1024 6.63677e-09
2048 6.55363e-09
4096 6.61051e-09
8192 6.81793e-09
16384 6.80568e-09
32768 6.79809e-09
65536 6.78706e-09
131072 6.81946e-09
262144 6.87981e-09
524288 7.49803e-09
1.04858e+06 1.54297e-08
